yearmonth,msl_mm
10/1/1956,7180
11/1/1956,7018
12/1/1956,6799
1/1/1957,6829
2/1/1957,6975
3/1/1957,7039
4/1/1957,6914
5/1/1957,7042
6/1/1957,7012
7/1/1957,7055
8/1/1957,7128
9/1/1957,7119
10/1/1957,7198
11/1/1957,7113
12/1/1957,6957
1/1/1958,6951
2/1/1958,6765
3/1/1958,6966
4/1/1958,7024
5/1/1958,6972
6/1/1958,7000
7/1/1958,6899
8/1/1958,6954
9/1/1958,7070
10/1/1958,7201
11/1/1958,7009
12/1/1958,6978
1/1/1959,6881
2/1/1959,6887
3/1/1959,6890
4/1/1959,6908
5/1/1959,6960
6/1/1959,7042
7/1/1959,7006
8/1/1959,6954
9/1/1959,7131
10/1/1959,7149
11/1/1959,7116
12/1/1959,6994
1/1/1960,7009
2/1/1960,6936
3/1/1960,6936
4/1/1960,6936
5/1/1960,7024
6/1/1960,7076
7/1/1960,7067
8/1/1960,7061
9/1/1960,7219
10/1/1960,7195
11/1/1960,7006
12/1/1960,6936
1/1/1961,6875
2/1/1961,6869
3/1/1961,6972
4/1/1961,6911
5/1/1961,7027
6/1/1961,6933
7/1/1961,6933
8/1/1961,7003
9/1/1961,7131
10/1/1961,7140
11/1/1961,7131
12/1/1961,6945
1/1/1962,6817
2/1/1962,7006
3/1/1962,7109
4/1/1962,6896
5/1/1962,7082
6/1/1962,7097
7/1/1962,7064
8/1/1962,7082
9/1/1962,7167
10/1/1962,7164
11/1/1962,7067
12/1/1962,6984
1/1/1963,6981
2/1/1963,6920
3/1/1963,6811
4/1/1963,6896
5/1/1963,6997
6/1/1963,6957
7/1/1963,6914
8/1/1963,6978
9/1/1963,7198
10/1/1963,7158
11/1/1963,6988
12/1/1963,6762
1/1/1964,6808
2/1/1964,6792
3/1/1964,6847
4/1/1964,6881
5/1/1964,7036
6/1/1964,7003
7/1/1964,6887
8/1/1964,7012
9/1/1964,7198
10/1/1964,7170
11/1/1964,7042
12/1/1964,6930
1/1/1965,6887
2/1/1965,6908
3/1/1965,6887
4/1/1965,6984
5/1/1965,6899
6/1/1965,6917
7/1/1965,6951
8/1/1965,6924
9/1/1965,7146
10/1/1965,7113
11/1/1965,7082
12/1/1965,6972
1/1/1966,6981
2/1/1966,6890
3/1/1966,6951
4/1/1966,6924
5/1/1966,7052
6/1/1966,7070
7/1/1966,6988
8/1/1966,6969
9/1/1966,7076
10/1/1966,7067
11/1/1966,6997
12/1/1966,7000
1/1/1967,6917
2/1/1967,6872
3/1/1967,6878
4/1/1967,6975
5/1/1967,7015
6/1/1967,7125
7/1/1967,6896
8/1/1967,7006
9/1/1967,7207
10/1/1967,7088
11/1/1967,7033
12/1/1967,7015
1/1/1968,6984
2/1/1968,7018
3/1/1968,6823
4/1/1968,6957
5/1/1968,6954
6/1/1968,7003
7/1/1968,6954
8/1/1968,7036
9/1/1968,7146
10/1/1968,7149
11/1/1968,6969
12/1/1968,6884
1/1/1969,6881
2/1/1969,7018
3/1/1969,6930
4/1/1969,6927
5/1/1969,6981
6/1/1969,7039
7/1/1969,6978
8/1/1969,7070
